month;USA;Europe;Japan;Emerging
01/05/2005;2,82787466;0,124801615;0,331842452;0,086567596
01/06/2005;2,425497293;0,085040301;0,192265034;0,096910916
01/07/2005;4,100735664;0,200579455;0,453160971;0,165781069
01/08/2005;3,095516682;0,120077974;0,23391813;0,102595671
01/09/2005;2,835565805;0,074807638;0,235109717;0,089619175
01/10/2005;2,632131577;0,088204411;0,119005948;0,068529742
01/11/2005;2,318357468;0,089400715;0,174255624;0,091713487
01/12/2005;2,860715866;0,123495389;0,0859778;0,068288589
01/01/2006;2,728853226;0,142867938;0,120946407;0,108613055
01/02/2006;2,654796362;0,104266924;0,104266927;0,078516792
01/03/2006;2,796040773;0,111986128;0,151723146;0,103810569
01/04/2006;2,434400082;0,094797513;0,106173217;0,092602202
01/05/2006;2,646790504;0,130057804;0,098874353;0,101676462
01/06/2006;2,801012993;0,125086331;0,230220243;0,096530943
01/07/2006;3,589906931;0,191833156;0,49351269;0,149980936
01/08/2006;3,480535984;0,177594543;0,110996589;0,113082992
01/09/2006;3,430241585;0,215351483;0,192278117;0,121034011
01/10/2006;3,116541147;0,12436901;0,70963496;0,184435778
01/11/2006;2,514849901;0,094114017;0,231427908;0,108405705
01/12/2006;2,66924572;0,105222436;0,239845261;0,098137025
01/01/2007;3,153611422;0,087643789;0,164332107;0,112437757
01/02/2007;3,010285139;0,125428547;0,309390426;0,114866143
01/03/2007;2,547290564;0,082899994;0,203481793;0,107095685
01/04/2007;2,506752253;0,073430114;0,160364613;0,106169373
01/05/2007;2,92397666;0,084795322;0,116959065;0,085667384
01/06/2007;3,095238209;0,121693119;0,149911821;0,100250625
01/07/2007;3,163966417;0,095003817;0,169649675;0,114290307
01/08/2007;2,403501749;0,0620772;0,135296464;0,076654031
01/09/2007;2,979531288;0,095741168;0,231099367;0,112074508
01/10/2007;3,227904797;0,108951946;0,18700707;0,141646092
01/11/2007;2,545579672;0,085999312;0,146198824;0,085094054
01/12/2007;2,790091276;0,125162974;0,11299435;0,076854458
01/01/2008;2,689225197;0,084594834;0,160284951;0,089515865
01/02/2008;2,698528051;0,094493914;0,099945486;0,07651329
01/03/2008;2,318193436;0,073838756;0,103030823;0,09580059
01/04/2008;2,292959213;0,048556785;0,12588796;0,067676611
01/05/2008;2,192904234;0,072205384;0,106970936;0,105094257
01/06/2008;2,459093809;0,103092783;0,141870797;0,081140145
01/07/2008;2,778315544;0,142303968;0,261374623;0,113109494
01/08/2008;2,535287142;0,151038391;0,152836472;0,081859778
01/09/2008;2,655112028;0,107863927;0,193601921;0,100440094
01/10/2008;1,83544302;0,063291138;0,153707057;0,077567336
01/11/2008;2,277992249;0,087837836;0,115830116;0,093476934
01/12/2008;2,549282789;0,071214782;0,072246879;0,110271552
01/01/2009;2,142210484;0,091521674;0,090515941;0,103749266
01/02/2009;2,198986769;0,065754015;0,183248892;0,107793467
01/03/2009;1,997614741;0,065593321;0,129198968;0,074276329
01/04/2009;2,411422491;0,078265468;0,296139598;0,10465084
01/05/2009;2,710781336;0,066996495;0,350443214;0,095476785
01/06/2009;2,506994963;0,08282037;0,179071069;0,108385123
01/07/2009;2,394350767;0,093787929;0,253779113;0,106854357
01/08/2009;2,106788635;0,050161633;0,144911379;0,085069434
01/09/2009;2,616403341;0,144169158;0,117471166;0,119719416
01/10/2009;2,780333281;0,107329043;0,194214448;0,115129898
01/11/2009;2,322081327;0,08600301;0,129004508;0,096187577
01/12/2009;2,968136072;0,139676997;0,196420774;0,095913072
01/01/2010;2,807399273;0,10228509;0,184983671;0,102514174
01/02/2010;2,472879887;0,09214977;0,081651695;0,112347824
01/03/2010;2,106987;0,078602619;0,152838424;0,086761662
01/04/2010;2,547770739;0,090512905;0,089395463;0,144091371
01/05/2010;2,939269543;0,10806138;0,270153433;0,149579698
01/06/2010;3,265074015;0,096700795;0,159271896;0,178432428
01/07/2010;2,317456722;0,089670433;0,046582043;0,098067459
01/08/2010;2,588263273;0,090648857;0,155057251;0,106719567
01/09/2010;2,217673063;0,075059706;0,238826334;0,080805904
01/10/2010;2,011433363;0,106923566;0,169383869;0,082463198
01/11/2010;2,874450684;0,157976009;0,261313707;0,16191447
01/12/2010;2,791578054;0,149041872;0,236574396;0,136341567
01/01/2011;2,297234058;0,100797;0,117205814;0,096232141
01/02/2011;2,417610407;0,118335666;0,076345593;0,139297218
01/03/2011;3,514764309;0,267739088;0,484795064;0,162371555
01/04/2011;2,628490925;0,165454117;0,211218029;0,098815449
01/05/2011;3,16973424;0,112474438;0,136332646;0,101651539
01/06/2011;2,74340415;0,145925751;0,093392484;0,134558906
01/07/2011;2,326947927;0,08814197;0,188036203;0,102677662
01/08/2011;2,47047472;0,100024102;0,108459868;0,111631213
01/09/2011;2,439596415;0,087966221;0,082101807;0,114201762
01/10/2011;2,201147318;0,070249385;0,046832923;0,114001195
01/11/2011;2,522082806;0,102278009;0,174337521;0,135799752
01/12/2011;2,57670188;0,111457333;0,227708533;0,13372357
01/01/2012;2,393340349;0,099433459;0,242802635;0,135093197
01/02/2012;2,602639198;0,129521017;0,097751714;0,163991356
01/03/2012;2,626852274;0,10103278;0,1571621;0,133528702
01/04/2012;2,678571463;0,123355263;0,187969923;0,176840128
01/05/2012;2,427527666;0,097808154;0,176761732;0,115980503
01/06/2012;2,059440136;0,08509064;0,086323835;0,108391586
01/07/2012;2,361060619;0,100496428;0,108972028;0,148482356
01/08/2012;2,302441359;0,078676387;0,173550844;0,140667532
01/09/2012;2,103960514;0,063006301;0,101260126;0,124354542
01/10/2012;2,370881557;0,089047194;0,077916294;0,096077235
01/11/2012;2,318241119;0,052242056;0,108837612;0,105400635
01/12/2012;2,275338888;0,090783725;0,137899339;0,092537711
01/01/2013;2,453284502;0,153616878;0,229278922;0,105588976
01/02/2013;2,550958157;0,133040398;0,231905282;0,114346649
01/03/2013;1,932947516;0,081904555;0,12012668;0,109206073
01/04/2013;2,731797695;0,082185438;0,393564075;0,128548015
01/05/2013;2,537020922;0,097996518;0,185104534;0,085961857
01/06/2013;2,522255182;0,091303358;0,136955038;0,100914236
01/07/2013;2,030761719;0,0913242;0,108147077;0,099925372
01/08/2013;2,446519375;0,092187685;0,070913605;0,100149915
01/09/2013;3,015640736;0,140654886;0,13502869;0,12673746
01/10/2013;2,289823055;0,110619468;0,154867262;0,1129483
01/11/2013;2,421052694;0,132163747;0,175438598;0,117574638
01/12/2013;2,436402798;0,093156575;0,191090405;0,091773683
01/01/2014;2,513635397;0,098411191;0,082997389;0,074260824
01/02/2014;2,201880217;0,145967342;0,07422068;0,097658795
01/03/2014;3,236682415;0,271971232;0,202292651;0,181590185
01/04/2014;2,666827679;0,155665499;0,21720767;0,087010092
01/05/2014;2,512791395;0,114837975;0,181921542;0,091559199
01/06/2014;2,850299358;0,15209581;0,059880238;0,085092974
01/07/2014;3,592023134;0,272705424;0,120134547;0,162497787
01/08/2014;3,198836803;0,164788558;0,133284867;0,128183051
01/09/2014;3,624835491;0,209355188;0,179447308;0,151743157
01/10/2014;2,39293313;0,10846472;0,055909649;0,087689872
01/11/2014;2,410788774;0,114572144;0,179018974;0,096733059
01/12/2014;2,430687428;0,103810607;0,139258131;0,095948187
01/01/2015;3,187508106;0,26842174;0,21938315;0,098484694
01/02/2015;3,372516155;0,26308424;0,22390148;0,118579404
01/03/2015;3,343871593;0,177529185;0,085116729;0,130554987
01/04/2015;3,174603224;0,165028979;0,176366836;0,145867314
01/05/2015;2,299850702;0,101939335;0,149179518;0,114501817
01/06/2015;2,685173273;0,14398755;0,077831104;0,112650286
01/07/2015;3,35261631;0,184065211;0,065737575;0,146698588
01/08/2015;2,902338266;0,159559836;0,192572221;0,111489177
01/09/2015;3,326706409;0,237243207;0,119284295;0,143699212
01/10/2015;3,144041061;0,137704119;0,085303433;0,114806881
01/11/2015;4,140378475;0,487644576;0,157728702;0,225524374
01/12/2015;4,610558033;0,366934919;0,150047749;0,18163674
01/01/2016;3,395562887;0,211038962;0,284090906;0,172305764
01/02/2016;2,998565197;0,200860834;0,229555234;0,126859471
01/03/2016;3,277591944;0,337123747;0,374581933;0,154902306
01/04/2016;3,051610231;0,223597241;0,379693419;0,128784905
01/05/2016;2,704636574;0,154550656;0,271894664;0,153646852
01/06/2016;2,570379496;0,189718486;0,183598533;0,104683374
01/07/2016;3,164645195;0,278823373;0,292764544;0,159222822
01/08/2016;2,769093275;0,150364743;0,178651184;0,136339062
01/09/2016;3,307420492;0,155477034;0,424028277;0,187465127
01/10/2016;2,707825661;0,192255621;0,06769564;0,12398991
01/11/2016;2,520767689;0,158980238;0,286450863;0,131918164
01/12/2016;3,046263456;0,207829184;0,199288249;0,167821687
01/01/2017;3,103896141;0,141558439;0,207792208;0,181818183
01/02/2017;3,54757309;0,185542527;0,534362495;0,19921408
01/03/2017;2,864617348;0,134728583;0,457815558;0,173488003
01/04/2017;3,304085493;0,2029065;0,315327674;0,186887564
01/05/2017;2,833015442;0,186597657;0,258785069;0,185665743
01/06/2017;3,772825003;0,213480127;0,241675615;0,190796538
01/07/2017;3,120665789;0,17059639;0,554785013;0,237243593
01/08/2017;3,863087654;0,207356909;0,724328935;0,240695471
01/09/2017;3,40052104;0,16865487;0,781571388;0,238873614
01/10/2017;2,745202541;0,165245205;0,279850751;0,168331276
01/11/2017;2,185090065;0,108540416;0,342759222;0,136051353
01/12/2017;2,280982018;0,095888419;0,363213718;0,136109563
01/01/2018;2,456299067;0,122061486;0,150693193;0,153072553
01/02/2018;2,084610701;0,090435317;0,137952179;0,098422022
01/03/2018;2,732695341;0,183104451;0,374531835;0,164998432
01/04/2018;2,756132841;0,151515152;0,187590182;0,157970684
01/05/2018;2,992732048;0,222317225;0,441784233;0,218266916
01/06/2018;2,77146101;0,164866402;0,483229101;0,17653571
01/07/2018;2,475247622;0,198019798;0,291205585;0,135640498
01/08/2018;2,669683218;0,117647062;0,256410271;0,170675562
01/09/2018;1,866977811;0,077304552;0,16044341;0,116686115
01/10/2018;2,153758287;0,125517048;0,17115961;0,168156808
01/11/2018;1,873910546;0,084253341;0,174317256;0,157497171
01/12/2018;2,302224874;0,114338689;0,046353523;0,136620911
01/01/2019;2,365464211;0,11531638;0,133057356;0,177409815
01/02/2019;2,716857672;0,155482819;0,196399346;0,236023773
01/03/2019;2,298352242;0,101185314;0,086730272;0,155201533
01/04/2019;2,166564226;0,099877073;0,276582658;0,172257626
01/05/2019;2,745858908;0,176093124;0,402924925;0,210494899
01/06/2019;2,627604961;0,151011782;0,694654167;0,194725717
01/07/2019;2,541035414;0,156249998;0,410353541;0,171119084
01/08/2019;3,379416227;0,205837173;0,599078357;0,22233002
01/09/2019;2,409110785;0,112425172;0,248211414;0,15138591
01/10/2019;2,599827528;0,133582305;0,215455323;0,163292457
01/11/2019;2,327718258;0,119448698;0,168453291;0,12573547
01/12/2019;1,827136993;0,088973625;0,174769625;0,118742997
01/01/2020;3,770620584;0,251374699;0,251374692;0,214164633
01/02/2020;2,267499208;0,161025305;0,427210003;0,162581941
01/03/2020;2,845957041;0,17467249;0,316217422;0,14186196
01/04/2020;2,406174421;0,116525427;0,181598067;0,127437239
01/05/2020;2,703875065;0,104106421;0,08675535;0,149919336
01/06/2020;2,339807272;0,085640003;0,107050009;0,116708653
01/07/2020;2,215330124;0,085659431;0,191995278;0,125924027
01/08/2020;1,985147119;0,125678378;0,242787778;0,102226431
01/09/2020;2,147650957;0,187919462;0,193885162;0,106754583
01/10/2020;1,960231304;0,097306446;0,070511915;0,067542995
01/11/2020;1,819809079;0,096957039;0,089498803;0,091068959
01/12/2020;2,026295424;0,179427688;0,077339523;0,101762529
01/01/2021;2,223497391;0,080332808;0,143451437;0,100416009
01/02/2021;1,870222807;0,134981298;0,130102456;0,089873406
01/03/2021;1,943908572;0,117228075;0,222584948;0,115587976
01/04/2021;2,13288331;0,158048182;0,076722421;0,102565757
01/05/2021;2,522629499;0,118711976;0,089033984;0,126521973
01/06/2021;2,128665924;0,13402712;0,078839481;0,096267159
01/07/2021;1,675634146;0,061491161;0,076863952;0,085763988
01/08/2021;2,13065958;0,109666302;0,046999842;0,088227776
01/09/2021;2,329192638;0,121118016;0,326086968;0,120954561
01/10/2021;1,92935586;0,096467793;0,163253188;0,103107277
01/11/2021;1,900276065;0,131557576;0,081208378;0,117965855
01/12/2021;2,502004862;0,222935046;0,256615877;0,100451611
01/01/2022;3,069752455;0,300546452;0,160720021;0,133651391
01/02/2022;4,331418991;0,485643962;0,623461843;0,208108457
01/03/2022;6,006640434;0,508602465;0,452761859;0,359032203
01/04/2022;4,525758266;0,422083132;0,272829413;0,254246597
01/05/2022;3,563474417;0,393466962;0,608760178;0,218028369
